Optimizer,Epoch,Learning Rate,Accuracy
SGD,66,0.0002,0.6625000238418579
SGD,67,0.0002,0.6636999845504761
SGD,68,0.0002,0.6660000085830688
SGD,69,0.0002,0.666700005531311
SGD,70,0.0002,0.6665999889373779
SGD,71,0.0002,0.6700000166893005
SGD,72,0.0002,0.6718999743461609
SGD,73,0.0002,0.6721000075340271
SGD,74,0.0002,0.6733999848365784
SGD,75,0.0002,0.6741999983787537
SGD,76,0.0002,0.6725999712944031
SGD,77,0.0002,0.6758000254631042
SGD,78,0.0002,0.6758000254631042
SGD,79,0.0002,0.6761000156402588
SGD,80,0.0002,0.6766999959945679
SGD,1,0.00030000000000000003,0.07129999995231628
SGD,2,0.00030000000000000003,0.10920000076293945
SGD,3,0.00030000000000000003,0.155799999833107
SGD,4,0.00030000000000000003,0.21639999747276306
SGD,5,0.00030000000000000003,0.25870001316070557
SGD,6,0.00030000000000000003,0.2897999882698059
SGD,7,0.00030000000000000003,0.3212999999523163
SGD,8,0.00030000000000000003,0.3474999964237213
SGD,9,0.00030000000000000003,0.3763999938964844
SGD,10,0.00030000000000000003,0.38530001044273376
SGD,11,0.00030000000000000003,0.38339999318122864
SGD,12,0.00030000000000000003,0.375
SGD,13,0.00030000000000000003,0.36629998683929443
SGD,14,0.00030000000000000003,0.3628999888896942
SGD,15,0.00030000000000000003,0.3555999994277954
SGD,16,0.00030000000000000003,0.3508000075817108
SGD,17,0.00030000000000000003,0.3650999963283539
SGD,18,0.00030000000000000003,0.391400009393692
SGD,19,0.00030000000000000003,0.4284999966621399
SGD,20,0.00030000000000000003,0.4611000120639801
SGD,21,0.00030000000000000003,0.484499990940094
SGD,22,0.00030000000000000003,0.4952999949455261
SGD,23,0.00030000000000000003,0.5072000026702881
SGD,24,0.00030000000000000003,0.5212000012397766
SGD,25,0.00030000000000000003,0.527400016784668
SGD,26,0.00030000000000000003,0.5400000214576721
SGD,27,0.00030000000000000003,0.5504000186920166
SGD,28,0.00030000000000000003,0.5583000183105469
SGD,29,0.00030000000000000003,0.5703999996185303
SGD,30,0.00030000000000000003,0.572700023651123
SGD,31,0.00030000000000000003,0.5834000110626221
SGD,32,0.00030000000000000003,0.5893999934196472
SGD,33,0.00030000000000000003,0.5979999899864197
SGD,34,0.00030000000000000003,0.6019999980926514
SGD,35,0.00030000000000000003,0.6107000112533569
SGD,36,0.00030000000000000003,0.616100013256073
SGD,37,0.00030000000000000003,0.6151999831199646
SGD,38,0.00030000000000000003,0.6238999962806702
SGD,39,0.00030000000000000003,0.6305999755859375
SGD,40,0.00030000000000000003,0.6299999952316284
SGD,41,0.00030000000000000003,0.6328999996185303
SGD,42,0.00030000000000000003,0.6383000016212463
SGD,43,0.00030000000000000003,0.6395000219345093
SGD,44,0.00030000000000000003,0.6417999863624573
SGD,45,0.00030000000000000003,0.6435999870300293
SGD,46,0.00030000000000000003,0.6450999975204468
SGD,47,0.00030000000000000003,0.6459000110626221
SGD,48,0.00030000000000000003,0.6474999785423279
SGD,49,0.00030000000000000003,0.6498000025749207
SGD,50,0.00030000000000000003,0.6510999798774719
SGD,51,0.00030000000000000003,0.6541000008583069
SGD,52,0.00030000000000000003,0.6549999713897705
SGD,53,0.00030000000000000003,0.6567999720573425
SGD,54,0.00030000000000000003,0.6593999862670898
SGD,55,0.00030000000000000003,0.6601999998092651
SGD,56,0.00030000000000000003,0.6625999808311462
SGD,57,0.00030000000000000003,0.6610999703407288
SGD,58,0.00030000000000000003,0.663100004196167
SGD,59,0.00030000000000000003,0.6651999950408936
SGD,60,0.00030000000000000003,0.6679999828338623
SGD,61,0.00030000000000000003,0.6686000227928162
SGD,62,0.00030000000000000003,0.670799970626831
SGD,63,0.00030000000000000003,0.6725999712944031
SGD,64,0.00030000000000000003,0.6725000143051147
SGD,65,0.00030000000000000003,0.6757000088691711
SGD,66,0.00030000000000000003,0.6747999787330627
SGD,67,0.00030000000000000003,0.6771000027656555
SGD,68,0.00030000000000000003,0.6782000064849854
SGD,69,0.00030000000000000003,0.680899977684021
SGD,70,0.00030000000000000003,0.6798999905586243
SGD,71,0.00030000000000000003,0.6807000041007996
SGD,72,0.00030000000000000003,0.6820999979972839
SGD,73,0.00030000000000000003,0.6847000122070312
SGD,74,0.00030000000000000003,0.685699999332428
SGD,75,0.00030000000000000003,0.6884999871253967
SGD,76,0.00030000000000000003,0.6859999895095825
SGD,77,0.00030000000000000003,0.6880999803543091
SGD,78,0.00030000000000000003,0.6879000067710876
SGD,79,0.00030000000000000003,0.6916999816894531
SGD,80,0.00030000000000000003,0.6909999847412109
SGD,1,0.0004,0.1265999972820282
SGD,2,0.0004,0.17059999704360962
SGD,3,0.0004,0.20679999887943268
SGD,4,0.0004,0.23659999668598175
SGD,5,0.0004,0.2818000018596649
SGD,6,0.0004,0.323199987411499
SGD,7,0.0004,0.3659000098705292
SGD,8,0.0004,0.4041999876499176
SGD,9,0.0004,0.41499999165534973
SGD,10,0.0004,0.42010000348091125
SGD,11,0.0004,0.42410001158714294
SGD,12,0.0004,0.4575999975204468
SGD,13,0.0004,0.4693000018596649
SGD,14,0.0004,0.48590001463890076
SGD,15,0.0004,0.512499988079071
SGD,16,0.0004,0.5286999940872192
SGD,17,0.0004,0.5566999912261963
SGD,18,0.0004,0.567300021648407
SGD,19,0.0004,0.5777000188827515
SGD,20,0.0004,0.5795999765396118
SGD,21,0.0004,0.5827000141143799
SGD,22,0.0004,0.583299994468689
SGD,23,0.0004,0.5914999842643738
SGD,24,0.0004,0.5960999727249146
SGD,25,0.0004,0.6100999712944031
SGD,26,0.0004,0.6025999784469604
SGD,27,0.0004,0.6085000038146973
SGD,28,0.0004,0.6116999983787537
SGD,29,0.0004,0.6090999841690063
SGD,30,0.0004,0.6158000230789185
SGD,31,0.0004,0.616599977016449
SGD,32,0.0004,0.6255999803543091
SGD,33,0.0004,0.6317999958992004
SGD,34,0.0004,0.6330000162124634
SGD,35,0.0004,0.6353999972343445
SGD,36,0.0004,0.6309999823570251
SGD,37,0.0004,0.641700029373169
SGD,38,0.0004,0.6478000283241272
SGD,39,0.0004,0.6416000127792358
SGD,40,0.0004,0.6481000185012817
SGD,41,0.0004,0.6506999731063843
SGD,42,0.0004,0.6474999785423279
SGD,43,0.0004,0.6510000228881836
SGD,44,0.0004,0.656499981880188
SGD,45,0.0004,0.6554999947547913
SGD,46,0.0004,0.6597999930381775
SGD,47,0.0004,0.6593999862670898
SGD,48,0.0004,0.6664999723434448
SGD,49,0.0004,0.6654000282287598
SGD,50,0.0004,0.664900004863739
SGD,51,0.0004,0.6664999723434448
SGD,52,0.0004,0.6694999933242798
SGD,53,0.0004,0.6704000234603882
SGD,54,0.0004,0.6743999719619751
SGD,55,0.0004,0.6777999997138977
SGD,56,0.0004,0.6736000180244446
SGD,57,0.0004,0.6771000027656555
SGD,58,0.0004,0.6754000186920166
SGD,59,0.0004,0.6771000027656555
SGD,60,0.0004,0.6757000088691711
SGD,61,0.0004,0.6833999752998352
SGD,62,0.0004,0.6826000213623047
SGD,63,0.0004,0.6816999912261963
SGD,64,0.0004,0.6866000294685364
SGD,65,0.0004,0.6852999925613403
SGD,66,0.0004,0.6837000250816345
SGD,67,0.0004,0.6887999773025513
SGD,68,0.0004,0.6879000067710876
SGD,69,0.0004,0.6887999773025513
SGD,70,0.0004,0.6899999976158142
SGD,71,0.0004,0.6917999982833862
SGD,72,0.0004,0.6917999982833862
SGD,73,0.0004,0.692300021648407
SGD,74,0.0004,0.6948999762535095
SGD,75,0.0004,0.6937000155448914
SGD,76,0.0004,0.6978999972343445
SGD,77,0.0004,0.6958000063896179
SGD,78,0.0004,0.6983000040054321
SGD,79,0.0004,0.6973000168800354
SGD,80,0.0004,0.6988000273704529
SGD,1,0.0005,0.10790000110864639
SGD,2,0.0005,0.2070000022649765
SGD,3,0.0005,0.26499998569488525
SGD,4,0.0005,0.3321000039577484
SGD,5,0.0005,0.3865000009536743
SGD,6,0.0005,0.3993000090122223
SGD,7,0.0005,0.4065999984741211
SGD,8,0.0005,0.4047999978065491
SGD,9,0.0005,0.3944999873638153
SGD,10,0.0005,0.3763999938964844
SGD,11,0.0005,0.39259999990463257
SGD,12,0.0005,0.4408000111579895
SGD,13,0.0005,0.49709999561309814
SGD,14,0.0005,0.5335999727249146
SGD,15,0.0005,0.5676000118255615
SGD,16,0.0005,0.5740000009536743
SGD,17,0.0005,0.5792999863624573
SGD,18,0.0005,0.5997999906539917
SGD,19,0.0005,0.6037999987602234
SGD,20,0.0005,0.6115000247955322
SGD,21,0.0005,0.6079999804496765
SGD,22,0.0005,0.6116999983787537
SGD,23,0.0005,0.620199978351593
SGD,24,0.0005,0.6266000270843506
SGD,25,0.0005,0.6306999921798706
SGD,26,0.0005,0.6337000131607056
SGD,27,0.0005,0.6341000199317932
SGD,28,0.0005,0.6370999813079834
SGD,29,0.0005,0.6330000162124634
SGD,30,0.0005,0.6452999711036682
SGD,31,0.0005,0.6495000123977661
SGD,32,0.0005,0.6478000283241272
SGD,33,0.0005,0.6557000279426575
SGD,34,0.0005,0.6607999801635742
SGD,35,0.0005,0.6614000201225281
SGD,36,0.0005,0.6636000275611877
SGD,37,0.0005,0.66839998960495
SGD,38,0.0005,0.6712999939918518
SGD,39,0.0005,0.675599992275238
SGD,40,0.0005,0.6777999997138977
SGD,41,0.0005,0.6732000112533569
SGD,42,0.0005,0.6794999837875366
SGD,43,0.0005,0.6855000257492065
SGD,44,0.0005,0.6863999962806702
SGD,45,0.0005,0.6852999925613403
SGD,46,0.0005,0.6855999827384949
SGD,47,0.0005,0.6863999962806702
SGD,48,0.0005,0.690500020980835
SGD,49,0.0005,0.6887000203132629
SGD,50,0.0005,0.6919000148773193
SGD,51,0.0005,0.6904000043869019
SGD,52,0.0005,0.6937000155448914
SGD,53,0.0005,0.6955000162124634
SGD,54,0.0005,0.6956999897956848
SGD,55,0.0005,0.6963000297546387
SGD,56,0.0005,0.699400007724762
SGD,57,0.0005,0.699400007724762
SGD,58,0.0005,0.6996999979019165
SGD,59,0.0005,0.7024000287055969
SGD,60,0.0005,0.7028999924659729
SGD,61,0.0005,0.7023000121116638
SGD,62,0.0005,0.7027999758720398
SGD,63,0.0005,0.704800009727478
SGD,64,0.0005,0.7034000158309937
SGD,65,0.0005,0.7064999938011169
SGD,66,0.0005,0.7084000110626221
SGD,67,0.0005,0.7103000283241272
SGD,68,0.0005,0.7120000123977661
SGD,69,0.0005,0.713699996471405
SGD,70,0.0005,0.7124000191688538
SGD,71,0.0005,0.7093999981880188
SGD,72,0.0005,0.7143999934196472
SGD,73,0.0005,0.7142999768257141
SGD,74,0.0005,0.7160000205039978
SGD,75,0.0005,0.7160000205039978
SGD,76,0.0005,0.7181000113487244
SGD,77,0.0005,0.718500018119812
SGD,78,0.0005,0.7200000286102295
SGD,79,0.0005,0.7222999930381775
SGD,80,0.0005,0.7213000059127808
SGD,1,0.0006000000000000001,0.16329999268054962
SGD,2,0.0006000000000000001,0.257099986076355
SGD,3,0.0006000000000000001,0.29739999771118164
SGD,4,0.0006000000000000001,0.35280001163482666
SGD,5,0.0006000000000000001,0.3874000012874603
SGD,6,0.0006000000000000001,0.4049000144004822
SGD,7,0.0006000000000000001,0.41760000586509705
SGD,8,0.0006000000000000001,0.4320000112056732
SGD,9,0.0006000000000000001,0.43309998512268066
SGD,10,0.0006000000000000001,0.4562999904155731
SGD,11,0.0006000000000000001,0.4625000059604645
SGD,12,0.0006000000000000001,0.4742000102996826
SGD,13,0.0006000000000000001,0.49559998512268066
